ID,Title,Authors,Authors Groups,Body,Scaffold(s),Keyword(s),Created,Views,Buildson,Edit By,Read By
5ec633bf9d463143d4866595,Welcome,KF Admin,"KF Admin:test group 1, test group 2",,,,"5/21/2020, 3:54:39 AM",,,"KF Admin, Pankti Bardolia, test admin, first last, hello jiiii","Pankti Bardolia, first last"
5ec633c79d463143d48665ba,note1,"KF Admin, Arnaldo Bardolia","KF Admin:test group 1, test group 2; Arnaldo Bardolia:test group 1",Pankti Bardolia Pankti Pink Pankti Pink,,,"5/21/2020, 3:54:47 AM",riseabove:,,KF Admin,KF Admin
5ec633e79d463143d48665c5,note2,KF Admin,"KF Admin:test group 1, test group 2",,,,"5/21/2020, 3:55:19 AM","riseabove:, Welcome",,KF Admin,KF Admin
5ec634119d463143d48665d0,note3,KF Admin,"KF Admin:test group 1, test group 2",,,,"5/21/2020, 3:56:01 AM",riseabove:,,KF Admin,KF Admin
5ec6f01850791b35c3587689,note4,KF Admin,"KF Admin:test group 1, test group 2",Pankti Blue Pankti Blue Pankti Blue,,,"5/21/2020, 5:18:16 PM",riseabove:,,KF Admin,KF Admin
5ec6f0ac50791b35c3587694,note5,KF Admin,"KF Admin:test group 1, test group 2",Pankti Pink Pankti Pink Pankti Pink,,,"5/21/2020, 5:20:44 PM",riseabove:,,KF Admin,KF Admin
5ee80b06f8871020a3d82da2,test 1,KF Admin,"KF Admin:test group 1, test group 2",,,,"6/15/2020, 7:57:58 PM",riseabove:,,KF Admin,KF Admin
5ee80b17f8871020a3d82daf,test 2,KF Admin,"KF Admin:test group 1, test group 2",This is Test 2,,,"6/15/2020, 7:58:15 PM",riseabove:,,KF Admin,KF Admin
5ee80b36f8871020a3d82dbe,riseabove:,KF Admin,"KF Admin:test group 1, test group 2",,,,"6/15/2020, 7:58:46 PM",,,KF Admin,
5ee80b36f8871020a3d82dc0,Riseabove,KF Admin,"KF Admin:test group 1, test group 2",,,,"6/15/2020, 7:58:46 PM",,,KF Admin,KF Admin
5ee80c25f8871020a3d82dd7,riseabove:,KF Admin,"KF Admin:test group 1, test group 2",,,,"6/15/2020, 8:02:45 PM",,,"KF Admin, Pankti Bardolia",
5ee80c25f8871020a3d82dd9,riseAbove test 1,KF Admin,"KF Admin:test group 1, test group 2","Hii, My first riseAbove 1, 2, 3",,,"6/15/2020, 8:02:45 PM","Welcome, veiw1, veiw1, Welcome",,KF Admin,"KF Admin, Pankti Bardolia"
5ee81aa5260b492cb372f4b9,test singapore 1,Pankti Bardolia,Pankti Bardolia:test group 2,Singapore local 1,,,"6/15/2020, 9:04:37 PM","riseabove:, Welcome, Welcome",,Pankti Bardolia,Pankti Bardolia
5ee81ac6260b492cb372f4c6,test singapore 2,Pankti Bardolia,Pankti Bardolia:test group 2,Singapore 2,,,"6/15/2020, 9:05:10 PM","riseabove:, riseabove:",,Pankti Bardolia,"Pankti Bardolia, KF Admin"
5ee81aef260b492cb372f4d3,riseabove:,Pankti Bardolia,Pankti Bardolia:test group 2,,,,"6/15/2020, 9:05:51 PM",,,"Pankti Bardolia, KF Admin",
